,Pclass,Sex_1,Age,SibSp,Parch,Fare,Embarked_1,Embarked_2,FamilySize,Title_1,Title_2,Title_3,Title_4
0,1.0,1.0,0.2711736617240512,0.125,0.0,0.014151057562208049,1.0,0.0,0.1,1.0,0.0,0.0,0.0
1,0.0,0.0,0.4722292033174164,0.125,0.0,0.13913573538264068,0.0,1.0,0.1,0.0,1.0,0.0,0.0
2,1.0,0.0,0.32143754712239253,0.0,0.0,0.015468569817999833,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,0.0,0.0,0.4345312892686604,0.125,0.0,0.10364429745562033,1.0,0.0,0.1,0.0,1.0,0.0,0.0
4,1.0,1.0,0.4345312892686604,0.0,0.0,0.015712553569072387,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5,1.0,1.0,0.36792055349407915,0.0,0.0,0.01650950209357577,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,0.0,1.0,0.6732847449107816,0.0,0.0,0.10122885832000206,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7,1.0,1.0,0.01985423473234481,0.375,0.16666666666666666,0.04113566043083236,1.0,0.0,0.4,0.0,0.0,0.0,1.0
8,1.0,0.0,0.33400351847197784,0.0,0.3333333333333333,0.021730754366528396,1.0,0.0,0.20000000000000004,0.0,1.0,0.0,0.0
9,0.5,0.0,0.17064589092736868,0.125,0.0,0.058694292654020104,0.0,1.0,0.1,0.0,1.0,0.0,0.0
10,1.0,0.0,0.04498617743151546,0.125,0.16666666666666666,0.03259622914329302,1.0,0.0,0.20000000000000004,0.0,0.0,1.0,0.0
11,0.0,0.0,0.723548630309123,0.0,0.0,0.051822148727810165,1.0,0.0,0.0,0.0,0.0,1.0,0.0
12,1.0,1.0,0.24604171902488062,0.0,0.0,0.015712553569072387,1.0,0.0,0.0,1.0,0.0,0.0,0.0
13,1.0,1.0,0.4847951746670017,0.125,0.8333333333333333,0.06104473451835265,1.0,0.0,0.6000000000000001,1.0,0.0,0.0,0.0
14,1.0,0.0,0.17064589092736868,0.0,0.0,0.015330377421392339,1.0,0.0,0.0,0.0,0.0,1.0,0.0
15,0.5,0.0,0.685850716260367,0.0,0.0,0.03122992013728673,1.0,0.0,0.0,0.0,1.0,0.0,0.0
16,1.0,1.0,0.01985423473234481,0.5,0.16666666666666666,0.05684821399990475,0.0,0.0,0.5000000000000001,0.0,0.0,0.0,1.0
17,0.5,1.0,0.36792055349407915,0.0,0.0,0.025374310111545468,1.0,0.0,0.0,1.0,0.0,0.0,0.0
18,1.0,0.0,0.38426740387031916,0.125,0.0,0.03513366015444757,1.0,0.0,0.1,0.0,1.0,0.0,0.0
19,1.0,0.0,0.36792055349407915,0.0,0.0,0.014102260811993537,0.0,1.0,0.0,0.0,1.0,0.0,0.0
20,0.5,1.0,0.4345312892686604,0.0,0.0,0.050748620223090936,1.0,0.0,0.0,1.0,0.0,0.0,0.0
21,0.5,1.0,0.4219653179190751,0.0,0.0,0.025374310111545468,1.0,0.0,0.0,1.0,0.0,0.0,0.0
22,1.0,0.0,0.18321186227695402,0.0,0.0,0.015671954672893913,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23,0.0,1.0,0.34656948982156316,0.0,0.0,0.06929138530460494,1.0,0.0,0.0,1.0,0.0,0.0,0.0
24,1.0,0.0,0.09525006282985675,0.375,0.16666666666666666,0.04113566043083236,1.0,0.0,0.4,0.0,0.0,1.0,0.0
25,1.0,0.0,0.4722292033174164,0.125,0.8333333333333333,0.06126431989431795,1.0,0.0,0.6000000000000001,0.0,1.0,0.0,0.0
26,1.0,1.0,0.36792055349407915,0.0,0.0,0.014102260811993537,0.0,1.0,0.0,1.0,0.0,0.0,0.0
27,0.0,1.0,0.2334757476752953,0.375,0.3333333333333333,0.5133418122566507,1.0,0.0,0.5000000000000001,1.0,0.0,0.0,0.0
28,1.0,0.0,0.36792055349407915,0.0,0.0,0.01537917417160685,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29,1.0,1.0,0.36792055349407915,0.0,0.0,0.015411575213749286,1.0,0.0,0.0,1.0,0.0,0.0,0.0
30,0.0,1.0,0.49736114601658704,0.0,0.0,0.05410739813385612,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.36792055349407915,0.125,0.0,0.2859895551532101,0.0,1.0,0.1,0.0,1.0,0.0,0.0
32,1.0,0.0,0.36792055349407915,0.0,0.0,0.015126992566498259,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33,0.5,1.0,0.8240764011058055,0.0,0.0,0.020494635090094415,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34,0.0,1.0,0.34656948982156316,0.125,0.0,0.16038672010106003,0.0,1.0,0.1,1.0,0.0,0.0,0.0
35,0.0,1.0,0.5224930887157577,0.125,0.0,0.10149724044618187,1.0,0.0,0.1,1.0,0.0,0.0,0.0
36,1.0,1.0,0.36792055349407915,0.0,0.0,0.014110458666029575,0.0,1.0,0.0,1.0,0.0,0.0,0.0
37,1.0,1.0,0.2586076903744659,0.0,0.0,0.015712553569072387,1.0,0.0,0.0,1.0,0.0,0.0,0.0
38,1.0,0.0,0.22090977632571,0.25,0.0,0.03513366015444757,1.0,0.0,0.20000000000000004,0.0,0.0,1.0,0.0
39,1.0,0.0,0.17064589092736868,0.125,0.0,0.021942337075458514,0.0,1.0,0.1,0.0,0.0,1.0,0.0
40,1.0,0.0,0.49736114601658704,0.125,0.0,0.018493968331299484,1.0,0.0,0.1,0.0,1.0,0.0,0.0
41,0.5,0.0,0.33400351847197784,0.125,0.0,0.04098927018018883,1.0,0.0,0.1,0.0,1.0,0.0,0.0
42,1.0,1.0,0.36792055349407915,0.0,0.0,0.015411575213749286,0.0,1.0,0.0,1.0,0.0,0.0,0.0
43,0.5,0.0,0.032420206081930136,0.125,0.3333333333333333,0.08115719346076702,0.0,1.0,0.30000000000000004,0.0,0.0,1.0,0.0
44,1.0,0.0,0.2334757476752953,0.0,0.0,0.01537917417160685,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45,1.0,1.0,0.36792055349407915,0.0,0.0,0.015712553569072387,1.0,0.0,0.0,1.0,0.0,0.0,0.0
46,1.0,1.0,0.36792055349407915,0.125,0.0,0.030253985132996517,0.0,0.0,0.1,1.0,0.0,0.0,0.0
47,1.0,0.0,0.36792055349407915,0.0,0.0,0.015126992566498259,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48,1.0,1.0,0.36792055349407915,0.25,0.0,0.04231498029001666,0.0,1.0,0.20000000000000004,1.0,0.0,0.0,0.0
49,1.0,0.0,0.22090977632571,0.125,0.0,0.034743286152731485,1.0,0.0,0.1,0.0,1.0,0.0,0.0
50,1.0,1.0,0.08268409148027142,0.5,0.16666666666666666,0.07746484096553544,1.0,0.0,0.5000000000000001,0.0,0.0,0.0,1.0
51,1.0,1.0,0.2586076903744659,0.0,0.0,0.01522458606692728,1.0,0.0,0.0,1.0,0.0,0.0,0.0
52,0.0,0.0,0.610454888162855,0.125,0.0,0.1497654242623688,0.0,1.0,0.1,0.0,1.0,0.0,0.0
53,0.5,0.0,0.35913546117114853,0.125,0.0,0.050748620223090936,1.0,0.0,0.1,0.0,1.0,0.0,0.0
54,0.0,1.0,0.8115104297562202,0.0,0.16666666666666666,0.1209753416358076,0.0,1.0,0.1,1.0,0.0,0.0,0.0
55,0.0,1.0,0.36792055349407915,0.0,0.0,0.06929138530460494,1.0,0.0,0.0,1.0,0.0,0.0,0.0
56,0.5,0.0,0.2586076903744659,0.0,0.0,0.020494635090094415,1.0,0.0,0.0,0.0,0.0,1.0,0.0
57,1.0,1.0,0.35285247549635584,0.0,0.0,0.014110458666029575,0.0,1.0,0.0,1.0,0.0,0.0,0.0
58,0.5,0.0,0.05755214878110078,0.125,0.3333333333333333,0.05416439273810667,1.0,0.0,0.30000000000000004,0.0,0.0,1.0,0.0
59,1.0,1.0,0.1329479768786127,0.625,0.3333333333333333,0.09154270340242172,1.0,0.0,0.7000000000000001,0.0,0.0,0.0,1.0
60,1.0,1.0,0.2711736617240512,0.0,0.0,0.014110458666029575,0.0,1.0,0.0,1.0,0.0,0.0,0.0
61,0.0,0.0,0.4722292033174164,0.0,0.0,0.15614960068643363,1.0,0.0,0.0,0.0,0.0,1.0,0.0
62,0.0,1.0,0.5601910027645137,0.125,0.0,0.16293234896625058,1.0,0.0,0.1,1.0,0.0,0.0,0.0
63,1.0,1.0,0.04498617743151546,0.375,0.3333333333333333,0.05445717323939373,1.0,0.0,0.5000000000000001,0.0,0.0,0.0,1.0
64,0.0,1.0,0.36792055349407915,0.0,0.0,0.05410739813385612,0.0,1.0,0.0,1.0,0.0,0.0,0.0
